City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Lavrentiya,RU,65.5833,-171.0,33.28,77,100,14.07,overcast clouds
296,Manga,BF,11.6636,-1.0731,81.09,53,11,7.78,few clouds
297,Gambo,CF,4.6482,22.2633,68.23,98,95,1.36,overcast clouds
298,Port Lincoln,AU,-34.7333,135.8667,56.01,58,99,18.54,light rain
299,Rudnogorsk,RU,57.2639,103.7519,22.84,46,100,2.3,overcast clouds
300,Alihe,CN,50.5667,123.7167,47.32,65,100,1.86,overcast clouds
301,Killybegs,IE,54.6333,-8.45,51.46,79,100,6.73,overcast clouds
302,College,US,64.8569,-147.8028,36.59,77,75,5.75,broken clouds
303,Kupang,ID,-10.1667,123.5833,86.25,58,83,3.29,broken clouds
304,Umm Kaddadah,SD,13.6017,26.6876,76.41,76,100,14.41,overcast clouds
305,Maragogi,BR,-9.0122,-35.2225,75.6,78,30,9.17,scattered clouds
306,San Ramon,US,37.7799,-121.978,69.42,32,1,4.0,clear sky
307,Vostok,RU,46.4856,135.8833,51.96,38,82,1.41,broken clouds
308,Shevchenkove,UA,49.6959,37.1735,49.68,91,42,7.18,scattered clouds
309,Luanda,AO,-8.8368,13.2343,73.71,86,11,11.14,few clouds
310,Tautira,PF,-17.7333,-149.15,84.22,74,48,15.99,scattered clouds
311,Port Moresby,PG,-9.4431,147.1797,84.06,70,76,5.91,broken clouds
312,Ancud,CL,-41.8697,-73.8203,51.42,93,100,8.86,overcast clouds
313,Ust-Kuyga,RU,70.0167,135.6,19.72,93,99,3.71,overcast clouds
314,Segezha,RU,63.7415,34.3222,43.81,85,100,10.02,overcast clouds
315,Chupa,RU,66.27,33.0549,42.13,90,100,6.02,overcast clouds
316,Champerico,GT,14.3,-91.9167,85.35,80,17,4.92,few clouds
317,Tarakan,ID,3.3,117.6333,80.76,78,100,5.77,overcast clouds
318,Palu,ID,-0.8917,119.8707,87.85,69,100,2.35,overcast clouds
319,Gamba,GA,-2.65,10.0,76.53,90,100,6.4,light rain
320,Klamath Falls,US,42.2249,-121.7817,49.96,26,1,1.01,clear sky
321,Ixtapa,MX,20.7,-105.2,83.43,74,90,0.0,overcast clouds
322,Uyemskiy,RU,64.4743,40.8524,35.65,87,0,4.47,clear sky
323,Belaya Gora,RU,68.5333,146.4167,19.67,76,100,9.37,overcast clouds
324,Santiago,CL,-33.4569,-70.6483,56.28,65,0,11.5,clear sky
325,Cockburn Town,TC,21.4612,-71.1419,82.22,78,100,14.27,overcast clouds
326,Springdale,US,36.1867,-94.1288,71.71,64,90,5.99,overcast clouds
327,Massakory,TD,12.996,15.7293,86.02,24,2,8.97,clear sky
328,Kaeo,NZ,-35.1,173.7833,63.32,55,54,11.61,broken clouds
329,Vangaindrano,MG,-23.35,47.6,64.06,78,76,1.36,broken clouds
330,Isangel,VU,-19.55,169.2667,79.7,71,100,16.15,moderate rain
331,Kangaatsiaq,GL,68.3065,-53.4641,31.66,79,46,9.13,scattered clouds
332,Quzhou,CN,28.9594,118.8686,64.9,96,100,5.5,light rain
333,Lokoja,NG,7.8024,6.743,78.01,88,100,4.03,overcast clouds
334,Cayenne,GF,4.9333,-52.3333,82.09,82,100,1.01,overcast clouds
335,Lodja,CD,-3.4833,23.4333,67.96,98,81,1.23,broken clouds
336,Ornskoldsvik,SE,63.2909,18.7153,34.75,93,19,8.05,few clouds
337,Makakilo City,US,21.3469,-158.0858,86.32,65,90,14.97,overcast clouds
338,Talakan,RU,50.3167,130.3667,52.3,60,99,8.86,overcast clouds
339,Mitsamiouli,KM,-11.3847,43.2844,76.06,83,11,4.65,few clouds
340,Tessalit,ML,20.1986,1.0114,82.38,12,67,9.73,broken clouds
341,Dickinson,US,29.4608,-95.0513,83.19,86,20,10.36,few clouds
342,Mount Isa,AU,-20.7333,139.5,82.17,47,40,8.05,scattered clouds
